,Timestamp,Temperature (°C)
16,2025-03-20 16:00:00,2.4
17,2025-03-20 17:00:00,2.5
18,2025-03-20 18:00:00,2.2
19,2025-03-20 19:00:00,1.3
20,2025-03-20 20:00:00,0.4
21,2025-03-20 21:00:00,-0.6
22,2025-03-20 22:00:00,-1.5
23,2025-03-20 23:00:00,-2.2
24,2025-03-21 00:00:00,-2.9
25,2025-03-21 01:00:00,-3.3
26,2025-03-21 02:00:00,-3.5
27,2025-03-21 03:00:00,-3.8
28,2025-03-21 04:00:00,-4.1
29,2025-03-21 05:00:00,-4.1
30,2025-03-21 06:00:00,-4.6
31,2025-03-21 07:00:00,-4.6
32,2025-03-21 08:00:00,-4.3
33,2025-03-21 09:00:00,-3.2
34,2025-03-21 10:00:00,-1.7
35,2025-03-21 11:00:00,-0.2
36,2025-03-21 12:00:00,0.7
37,2025-03-21 13:00:00,1.5
38,2025-03-21 14:00:00,2.0
39,2025-03-21 15:00:00,2.3
